Job Title,Company Name,Salary,Year of Exp.,Function,Industry,Qualification,Location,Job Requirements,Publish Date,Closing Date,Link URL,Source
Senior Elevator Mechanic ($500- $700),Premium Care Business Consulting,$500-$999,2,Technician/Maintenance,General Business Services,Bachelor Degree,Phnom Penh,"- Knowledge of machanical, electrical, and ydraulic systems • - Ability to read nd interpret technical diagrams and lueprints • - Teamwork and adaptability • - Be able to work in Sensok area • - Work at Phnom Penh and can go to province • - Work Day: Monday- Saturday • - Working hour: 8am-5pm • - Willing to work longer",Publish Date：Mar-24-2025,Closing Date：Apr-01-2025,https://www.camhr.com/a/job/10608838,CamHR
Sales Executive ($250-$300) Pursenchey Area,Premium Care Business Consulting,$200-$500,1,Sales,General Business Services,Bachelor Degree,Phnom Penh,"- Bachelor degree in Sales and marketing or any related field. • - At least 1 or 2 years experience in the position. • - Good Command of English. • - Be proactive, aggressive and eager too learn new things. • - Computer literacy on Ms Office. • - Be good team and positive attitude at work. • - Be committed with team. • - Location : Khan Pursenchey • - Able to work in Pursenchey area. • - Salary rank : $250 - $300 • - Working days : Mon to Sat • - Working hours : 8:00am to 5:30pm • - Willing to work longer.",Publish Date：Mar-24-2025,Closing Date：Apr-21-2025,https://www.camhr.com/a/job/10608839,CamHR
